airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Spicejet,2019-03-09,Mumbai,Hyderabad,22:45:00,00:10:00,85,0.0,No Info,3603
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,12:00:00,1170,1.0,No Info,14781
Spicejet,2019-05-01,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,2385
Jet Airways,2019-03-21,Banglore,New Delhi,08:00:00,07:40:00,1420,1.0,In-flight meal not included,7832
Air India,2019-06-09,Delhi,Cochin,12:55:00,19:15:00,1820,2.0,No Info,12436
Jet Airways,2019-03-21,Delhi,Cochin,19:15:00,18:50:00,1415,2.0,In-flight meal not included,8938
Multiple Carriers,2019-06-12,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,13797
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,21:05:00,1480,1.0,No Info,12121
Jet Airways,2019-06-24,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,10262
Jet Airways,2019-06-12,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,8016
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,In-flight meal not included,8586
Spicejet,2019-04-24,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,3919
Indigo,2019-04-24,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No Info,4423
Spicejet,2019-03-27,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,3332
Indigo,2019-05-06,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Air India,2019-03-15,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,4939
Air India,2019-06-18,Mumbai,Hyderabad,15:00:00,16:25:00,85,0.0,No Info,3100
Indigo,2019-04-27,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,6015
Air India,2019-03-01,Banglore,New Delhi,10:30:00,22:55:00,745,1.0,No Info,11003
Indigo,2019-05-01,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Multiple Carriers,2019-05-21,Delhi,Cochin,07:00:00,19:00:00,720,1.0,No Info,10197
Jet Airways,2019-06-15,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No Info,8016
Indigo,2019-04-01,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5164
Air India,2019-03-09,Delhi,Cochin,23:00:00,07:40:00,520,1.0,No Info,10840
Jet Airways,2019-04-15,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,7229
Air India,2019-05-12,Kolkata,Banglore,19:00:00,11:05:00,965,1.0,No Info,6327
Spicejet,2019-05-01,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No Info,2437
Multiple Carriers,2019-06-27,Delhi,Cochin,06:00:00,21:00:00,900,1.0,In-flight meal not included,6007
Air India,2019-04-09,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,4729
Air India,2019-05-24,Kolkata,Banglore,07:00:00,01:20:00,1100,2.0,No Info,14083
Jet Airways,2019-03-15,Banglore,New Delhi,22:50:00,07:40:00,530,1.0,In-flight meal not included,9134
Indigo,2019-05-18,Kolkata,Banglore,15:15:00,20:05:00,290,1.0,No Info,4775
Jet Airways,2019-03-06,Banglore,New Delhi,21:25:00,21:20:00,1435,1.0,No Info,17471
Air Asia,2019-05-06,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,4409
Jet Airways,2019-06-06,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,10262
Air Asia,2019-04-09,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No Info,5162
Indigo,2019-04-21,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4990
Multiple Carriers,2019-05-09,Delhi,Cochin,10:35:00,19:00:00,505,1.0,No Info,9103
Air Asia,2019-06-09,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,7120
Indigo,2019-06-21,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,5224
Jet Airways,2019-03-21,Delhi,Cochin,16:00:00,18:50:00,1610,1.0,In-flight meal not included,5963
Air India,2019-03-06,Delhi,Cochin,06:10:00,08:15:00,1565,1.0,No Info,11038
Multiple Carriers,2019-03-21,Delhi,Cochin,07:30:00,15:30:00,480,1.0,No Info,11269
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,19:50:00,845,1.0,No Info,14781
Indigo,2019-06-21,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,4804
Air India,2019-05-01,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,6121
Jet Airways,2019-03-06,Delhi,Cochin,05:25:00,04:25:00,1380,2.0,No Info,16914
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,18:10:00,700,1.0,No Info,13759
Indigo,2019-06-21,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,10:25:00,1365,1.0,No Info,17261
Indigo,2019-04-09,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4174
Air India,2019-06-27,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No Info,9653
Jet Airways,2019-03-18,Banglore,New Delhi,08:55:00,15:15:00,380,1.0,No Info,12284
Air India,2019-03-01,Banglore,New Delhi,08:50:00,10:35:00,1545,2.0,No Info,31783
Spicejet,2019-05-09,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3859
Indigo,2019-04-12,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,4174
Air India,2019-06-18,Banglore,Delhi,05:45:00,08:45:00,180,0.0,No Info,6961
Vistara,2019-04-09,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,5403
Multiple Carriers,2019-05-09,Delhi,Cochin,10:35:00,19:15:00,520,1.0,No Info,7575
Jet Airways,2019-03-09,Banglore,New Delhi,05:45:00,10:25:00,280,1.0,In-flight meal not included,11087
Vistara,2019-03-15,Banglore,New Delhi,06:40:00,10:25:00,1665,1.0,No Info,6590
Jet Airways,2019-05-27,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,3359
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,12:00:00,890,1.0,In-flight meal not included,9663
Vistara,2019-05-24,Kolkata,Banglore,07:10:00,22:40:00,930,1.0,No Info,9397
Multiple Carriers,2019-05-27,Delhi,Cochin,10:20:00,19:00:00,520,1.0,No Info,9794
Jet Airways,2019-06-09,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,7229
Jet Airways,2019-06-06,Delhi,Cochin,11:30:00,04:25:00,1015,1.0,In-flight meal not included,10262
Jet Airways,2019-03-15,Banglore,New Delhi,08:00:00,18:25:00,625,1.0,In-flight meal not included,9134
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,07:25:00,1495,2.0,In-flight meal not included,10118
Goair,2019-03-27,Delhi,Cochin,14:10:00,19:20:00,310,1.0,No Info,10188
Spicejet,2019-05-24,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,1965
Air India,2019-03-01,Banglore,New Delhi,11:50:00,23:55:00,725,1.0,Change airports,26092
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,09:20:00,865,1.0,In-flight meal not included,10844
Multiple Carriers,2019-05-18,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No Info,10197
Multiple Carriers,2019-05-15,Delhi,Cochin,04:55:00,19:00:00,845,1.0,No Info,9103
Indigo,2019-06-24,Delhi,Cochin,09:15:00,21:00:00,705,1.0,No Info,6838
Indigo,2019-03-06,Kolkata,Banglore,05:30:00,08:20:00,170,0.0,No Info,4778
Air India,2019-05-09,Kolkata,Banglore,16:50:00,18:30:00,1540,1.0,No Info,8576
Air India,2019-05-06,Kolkata,Banglore,09:50:00,23:15:00,805,2.0,No Info,14120
Multiple Carriers,2019-06-15,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No Info,13377
Air India,2019-03-06,Delhi,Cochin,05:55:00,07:40:00,1545,2.0,No Info,14641
Indigo,2019-04-21,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,6015
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,20:45:00,400,1.0,No Info,14781
Jet Airways,2019-06-24,Delhi,Cochin,09:00:00,12:35:00,1655,1.0,In-flight meal not included,10262
Jet Airways,2019-06-27,Delhi,Cochin,14:00:00,12:35:00,1355,1.0,In-flight meal not included,10262
Goair,2019-06-27,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,3419
Air India,2019-03-03,Banglore,New Delhi,21:10:00,23:55:00,165,0.0,No Info,7591
Indigo,2019-06-12,Kolkata,Banglore,08:10:00,13:00:00,290,1.0,No Info,5069
Indigo,2019-05-18,Delhi,Cochin,08:30:00,21:00:00,750,1.0,No Info,7081
Vistara,2019-03-03,Banglore,New Delhi,06:40:00,10:25:00,1665,1.0,No Info,12476
Jet Airways,2019-03-18,Banglore,New Delhi,18:40:00,00:45:00,365,1.0,No Info,54826
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,No Info,14571
Indigo,2019-06-21,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,4077
Indigo,2019-06-03,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No Info,6104
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,No Info,13941
Air Asia,2019-03-24,Banglore,New Delhi,23:25:00,02:10:00,165,0.0,No Info,4482
Indigo,2019-03-21,Delhi,Cochin,10:45:00,21:00:00,615,1.0,No Info,6838
Jet Airways,2019-05-21,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,12898
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,10:05:00,1200,1.0,In-flight meal not included,7757
Jet Airways,2019-06-12,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,No Info,12576
Indigo,2019-03-21,Delhi,Cochin,04:55:00,12:00:00,425,1.0,No Info,6287
Air Asia,2019-06-09,Delhi,Cochin,07:55:00,15:45:00,470,1.0,No Info,8759
Jet Airways,2019-05-18,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,No Info,13067
Jet Airways,2019-06-03,Delhi,Cochin,21:25:00,19:00:00,1295,2.0,No Info,13292
Jet Airways,2019-06-03,Delhi,Cochin,16:00:00,19:00:00,1620,1.0,In-flight meal not included,10262
Spicejet,2019-06-09,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,3597
Air Asia,2019-06-06,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,4483
Jet Airways,2019-06-09,Delhi,Cochin,09:35:00,04:25:00,1130,2.0,No Info,13292
Jet Airways,2019-03-18,Banglore,New Delhi,08:55:00,16:10:00,435,1.0,No Info,12284
Indigo,2019-06-03,Delhi,Cochin,15:10:00,20:00:00,290,1.0,No Info,6493
Air India,2019-03-03,Banglore,New Delhi,11:05:00,22:10:00,2105,2.0,No Info,11948
Jet Airways,2019-03-03,Delhi,Cochin,05:25:00,18:50:00,2245,2.0,No Info,18799
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,09:30:00,775,1.0,In-flight meal not included,11087
Jet Airways,2019-06-01,Delhi,Cochin,18:25:00,04:25:00,600,2.0,No Info,14237
Spicejet,2019-05-18,Kolkata,Banglore,11:35:00,18:50:00,435,1.0,No Info,8479
Air India,2019-05-01,Kolkata,Banglore,09:25:00,07:55:00,1350,1.0,No Info,8366
Air India,2019-05-09,Delhi,Cochin,16:55:00,19:15:00,1580,2.0,No Info,13591
Air India,2019-05-12,Kolkata,Banglore,12:00:00,11:10:00,1390,2.0,No Info,10676
Spicejet,2019-06-06,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,2647
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,12:00:00,1170,1.0,In-flight meal not included,9663
Jet Airways,2019-06-09,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,In-flight meal not included,10262
Spicejet,2019-06-15,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,3873
Multiple Carriers,2019-06-27,Delhi,Cochin,04:55:00,19:15:00,860,1.0,No Info,7155
Multiple Carriers,2019-05-27,Delhi,Cochin,13:15:00,22:30:00,555,1.0,No Info,9646
Air Asia,2019-03-03,Banglore,New Delhi,23:25:00,02:10:00,165,0.0,No Info,6477
Jet Airways,2019-06-15,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,7229
Spicejet,2019-03-06,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No Info,7298
Vistara,2019-03-24,Banglore,New Delhi,21:10:00,00:05:00,175,0.0,No Info,6558
Spicejet,2019-06-27,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Jet Airways,2019-06-03,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,8040
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,In-flight meal not included,10844
Air India,2019-05-01,Kolkata,Banglore,10:00:00,23:15:00,795,1.0,No Info,10203
Indigo,2019-06-09,Delhi,Cochin,17:10:00,01:30:00,500,1.0,No Info,6206
Indigo,2019-03-06,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No Info,7295
Indigo,2019-04-03,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,3175
Multiple Carriers,2019-06-06,Delhi,Cochin,12:50:00,01:30:00,760,1.0,No Info,6795
Vistara,2019-03-06,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,12411
Indigo,2019-06-06,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No Info,6093
Air India,2019-03-18,Banglore,New Delhi,08:50:00,16:30:00,1900,2.0,No Info,10835
Jet Airways,2019-06-18,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,In-flight meal not included,4995
Air India,2019-06-12,Kolkata,Banglore,16:45:00,08:55:00,970,2.0,No Info,14960
Jet Airways,2019-05-27,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,In-flight meal not included,12898
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,09:20:00,865,1.0,In-flight meal not included,7064
Indigo,2019-03-01,Banglore,New Delhi,13:00:00,15:50:00,170,0.0,No Info,19685
Air India,2019-06-12,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,6961
Spicejet,2019-03-21,Delhi,Cochin,16:35:00,22:50:00,375,1.0,No Info,4957
Air India,2019-06-27,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,8669
Air India,2019-05-06,Kolkata,Banglore,12:00:00,21:50:00,590,2.0,No Info,10151
Vistara,2019-05-21,Kolkata,Banglore,07:10:00,22:40:00,930,1.0,No Info,8452
Air India,2019-06-06,Kolkata,Banglore,12:00:00,21:50:00,590,2.0,No Info,9416
Vistara,2019-03-24,Kolkata,Banglore,09:55:00,20:25:00,630,1.0,No Info,12312
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,10:05:00,1540,1.0,In-flight meal not included,8529
Indigo,2019-03-27,Delhi,Cochin,18:35:00,01:35:00,420,1.0,No Info,8574
Air India,2019-03-18,Banglore,New Delhi,17:00:00,19:45:00,165,0.0,No Info,11633
Spicejet,2019-03-27,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3384
Indigo,2019-03-03,Banglore,New Delhi,13:00:00,15:50:00,170,0.0,No Info,12649
Jet Airways,2019-06-24,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,18371
Indigo,2019-06-24,Delhi,Cochin,17:05:00,22:15:00,310,1.0,No Info,6147
Indigo,2019-06-27,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Vistara,2019-03-24,Banglore,New Delhi,12:00:00,14:40:00,160,0.0,No Info,7608
Jet Airways,2019-06-06,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,7229
Multiple Carriers,2019-05-18,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No Info,13727
Air India,2019-03-24,Kolkata,Banglore,20:30:00,20:25:00,1435,1.0,No Info,12173
Vistara,2019-04-18,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Air India,2019-03-12,Mumbai,Hyderabad,16:50:00,12:25:00,1175,3.0,No Info,14260
Air India,2019-03-09,Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No Info,9790
Jet Airways,2019-06-15,Delhi,Cochin,09:00:00,12:35:00,1655,1.0,In-flight meal not included,10262
Indigo,2019-06-01,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No Info,3943
Jet Airways,2019-05-21,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,No Info,14151
Jet Airways,2019-03-06,Banglore,New Delhi,08:00:00,15:15:00,435,1.0,No Info,19225
Jet Airways,2019-03-21,Delhi,Cochin,17:30:00,18:50:00,1520,1.0,In-flight meal not included,5963
Spicejet,2019-03-12,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,6300
Air Asia,2019-06-27,Delhi,Cochin,20:45:00,07:10:00,625,1.0,No Info,6451
Indigo,2019-06-01,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,6064
Indigo,2019-05-21,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No Info,5054
Multiple Carriers,2019-05-09,Delhi,Cochin,10:20:00,19:00:00,520,1.0,No Info,9794
Air India,2019-03-27,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,6902
Indigo,2019-05-12,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Jet Airways,2019-06-06,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,No Info,14714
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No Info,14781
Indigo,2019-06-24,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Indigo,2019-03-01,Banglore,New Delhi,21:20:00,00:15:00,175,0.0,No Info,12649
Multiple Carriers,2019-06-15,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,7198
Air India,2019-05-15,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No Info,7480
Multiple Carriers,2019-03-27,Delhi,Cochin,15:05:00,01:35:00,630,1.0,No Info,12327
Multiple Carriers,2019-03-06,Delhi,Cochin,13:05:00,21:20:00,495,2.0,No Info,10759
Jet Airways,2019-06-06,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,10368
Air India,2019-06-24,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No Info,10975
Air India,2019-03-01,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,19630
Air India,2019-03-27,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,6377
Spicejet,2019-05-12,Kolkata,Banglore,11:15:00,18:30:00,435,1.0,No Info,11468
Trujet,2019-03-06,Mumbai,Hyderabad,13:05:00,16:20:00,195,1.0,No Info,4140
Multiple Carriers,2019-05-01,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,9424
Multiple Carriers,2019-05-18,Delhi,Cochin,04:55:00,12:35:00,460,1.0,No Info,8882
Multiple Carriers,2019-03-03,Delhi,Cochin,07:05:00,21:20:00,855,2.0,No Info,8291
Air India,2019-03-06,Delhi,Cochin,05:00:00,19:15:00,2295,2.0,No Info,10283
Jet Airways,2019-06-27,Delhi,Cochin,13:00:00,12:35:00,1415,1.0,In-flight meal not included,10262
Spicejet,2019-03-09,Delhi,Cochin,16:35:00,22:50:00,375,1.0,No Info,7084
Indigo,2019-04-12,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,4174
Jet Airways,2019-06-12,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,10368
Air India,2019-06-12,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No Info,7480
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,10:05:00,845,1.0,In-flight meal not included,8586
Air India,2019-06-27,Delhi,Cochin,05:15:00,19:15:00,2280,3.0,No Info,10703
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,20:45:00,1550,1.0,In-flight meal not included,10844
Air Asia,2019-06-03,Delhi,Cochin,07:55:00,22:25:00,870,1.0,No Info,8759
Multiple Carriers,2019-05-24,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,10197
Air India,2019-06-27,Delhi,Cochin,17:40:00,23:00:00,320,1.0,No Info,7174
Multiple Carriers,2019-05-27,Delhi,Cochin,09:45:00,22:30:00,765,1.0,No Info,10486
Air India,2019-05-15,Delhi,Cochin,05:00:00,07:40:00,1600,2.0,No Info,11281
Indigo,2019-05-12,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No Info,4823
Indigo,2019-03-09,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,7060
Indigo,2019-06-12,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,6316
Air India,2019-03-01,Banglore,New Delhi,11:05:00,19:50:00,525,1.0,1 Long layover,14594
Jet Airways,2019-03-09,Delhi,Cochin,17:25:00,04:25:00,660,1.0,No Info,15554
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,07:40:00,525,1.0,In-flight meal not included,11087
Indigo,2019-06-09,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Jet Airways,2019-05-21,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,In-flight meal not included,9314
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,12:00:00,1170,1.0,In-flight meal not included,10844
Vistara,2019-03-01,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,9125
Air India,2019-06-09,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Air India,2019-04-06,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,5176
Indigo,2019-05-18,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Multiple Carriers,2019-05-27,Delhi,Cochin,08:30:00,19:15:00,645,1.0,No Info,9149
Air Asia,2019-06-01,Delhi,Cochin,16:45:00,22:25:00,340,1.0,No Info,11410
Jet Airways,2019-05-09,Delhi,Cochin,21:25:00,12:35:00,910,2.0,In-flight meal not included,11507
Indigo,2019-03-09,Banglore,New Delhi,23:30:00,02:20:00,170,0.0,No Info,4777
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,18:10:00,1395,1.0,In-flight meal not included,11134
Indigo,2019-03-01,Banglore,New Delhi,16:50:00,21:35:00,285,1.0,No Info,13302
Jet Airways,2019-05-18,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,No Info,15554
Indigo,2019-04-12,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No Info,4990
Multiple Carriers,2019-03-27,Delhi,Cochin,10:00:00,18:50:00,530,1.0,No Info,11667
Jet Airways,2019-06-09,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,10262
Indigo,2019-03-24,Banglore,New Delhi,18:25:00,21:20:00,175,0.0,No Info,7303
Indigo,2019-06-12,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Multiple Carriers,2019-06-06,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No Info,7005
Indigo,2019-03-09,Kolkata,Banglore,05:30:00,08:20:00,170,0.0,No Info,4148
Jet Airways,2019-03-27,Delhi,Cochin,18:15:00,04:25:00,610,1.0,No Info,12242
Jet Airways,2019-05-27,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,No Info,15129
Jet Airways,2019-06-24,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,13014
Indigo,2019-03-15,Mumbai,Hyderabad,06:20:00,07:45:00,85,0.0,No Info,3342
Jet Airways,2019-03-18,Banglore,New Delhi,11:40:00,09:30:00,1310,1.0,In-flight meal not included,11087
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,15:05:00,1120,1.0,No Info,13067
Multiple Carriers,2019-06-24,Delhi,Cochin,10:20:00,19:15:00,535,1.0,In-flight meal not included,7268
Vistara,2019-05-01,Kolkata,Banglore,17:00:00,09:05:00,965,1.0,No Info,8452
Air India,2019-06-03,Delhi,Cochin,10:55:00,19:15:00,500,2.0,No Info,12173
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No Info,13626
Jet Airways,2019-05-21,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,In-flight meal not included,10844
Multiple Carriers,2019-05-18,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No Info,7997
Air India,2019-05-21,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,6094
Multiple Carriers,2019-05-15,Delhi,Cochin,14:55:00,22:30:00,455,1.0,No Info,6513
Multiple Carriers,2019-05-15,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No Info,8073
Indigo,2019-03-03,Kolkata,Banglore,14:20:00,16:55:00,155,0.0,No Info,6565
Indigo,2019-05-09,Delhi,Cochin,08:35:00,22:30:00,835,1.0,No Info,6734
Indigo,2019-06-21,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3597
Jet Airways,2019-03-01,Banglore,New Delhi,07:00:00,16:10:00,550,1.0,No Info,26890
Indigo,2019-04-06,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No Info,3943
Indigo,2019-05-06,Kolkata,Banglore,08:10:00,13:00:00,290,1.0,No Info,5069
Multiple Carriers,2019-03-03,Delhi,Cochin,18:00:00,01:35:00,455,1.0,No Info,17703
Air India,2019-03-12,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,7082
Indigo,2019-04-15,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Vistara,2019-05-24,Kolkata,Banglore,17:00:00,20:20:00,1640,1.0,No Info,9870
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,11:25:00,1280,1.0,No Info,15025
Multiple Carriers,2019-03-21,Delhi,Cochin,08:25:00,18:50:00,625,1.0,No Info,13069
Jet Airways,2019-03-12,Banglore,New Delhi,16:55:00,23:00:00,365,1.0,No Info,13817
Multiple Carriers,2019-05-15,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No Info,10529
Indigo,2019-05-03,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3850
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,No Info,13044
Multiple Carriers,2019-03-21,Delhi,Cochin,08:25:00,19:15:00,650,1.0,No Info,8601
Indigo,2019-06-21,Delhi,Cochin,14:25:00,17:40:00,195,0.0,No Info,5000
Jet Airways,2019-06-21,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,8016
Indigo,2019-04-06,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No Info,5073
Multiple Carriers,2019-06-01,Delhi,Cochin,08:45:00,19:00:00,615,1.0,No Info,12524
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,18:10:00,1695,1.0,In-flight meal not included,11134
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,No Info,14781
Vistara,2019-03-15,Banglore,New Delhi,07:00:00,09:40:00,160,0.0,No Info,6138
Indigo,2019-03-21,Delhi,Cochin,04:55:00,21:20:00,985,2.0,No Info,6223
Indigo,2019-03-24,Chennai,Kolkata,05:15:00,07:35:00,140,0.0,No Info,4326
Multiple Carriers,2019-03-09,Delhi,Cochin,16:00:00,01:35:00,575,1.0,In-flight meal not included,14086
Indigo,2019-05-15,Kolkata,Banglore,15:15:00,20:05:00,290,1.0,No Info,5380
Indigo,2019-05-21,Delhi,Cochin,16:10:00,00:55:00,525,1.0,No Info,6778
